Name,10k_1x_MLAB,10k_1x_MLAB2,10k_1x_NEB,10k_2x_MLAB,1k_1x_MLAB,IVT_DAY1,IVT_DAY2,MicrobeExpress_Bead,MicrobeExpress_RNASE
aes,71.21598877187989,113.24895401942955,56.726694769778575,145.04003324065508,164.7712320872655,104.10057276698686,62.70019536167827,147.35509480400754,99.42478530761412
afuC,39.56174585583423,70.25961230275479,42.04330741833805,107.43857812567332,136.45902943912554,51.565984437025215,73.23391959787384,152.41898601447542,174.23387483830888
agaB,336.91804680392966,165.16975602147625,186.87096956526233,326.127752036242,45.46335476540497,218.23354588311858,515.8591444864367,386.88965410126895,400.5628940476296
agaC,41.29241526160601,151.0278743271322,33.99480456738533,88.63853807045989,280.83300991281646,40.26549077936296,57.961553942276076,191.5860602426897,145.38428481061462
agaD,32.4090707933341,118.01780017451766,48.643319600818955,87.4700304959317,140.1280272882903,33.603822176854365,39.20860273179152,226.00868571246468,185.1388184911216
agaI,48.666572369917205,120.83623706546429,21.982601948455997,119.30730703664801,0.0,48.39292091055099,78.07192422621895,257.561846380114,170.85418593233896
agaR,190.005265647057,126.20258618192126,138.02409465818434,205.26300489711969,203.15879511834885,199.20969384537497,148.517651601896,266.1880076169029,151.35195444572926
agaS,99.45179193647613,195.22599245096734,89.24506978863774,146.32610250091702,209.84689800808005,86.72284785241195,158.55314419760077,151.6152718085271,201.8063024199719
agaV,185.26788848286114,134.04446308398695,140.67807396096862,114.89608918683558,301.418995406676,147.5160391133473,225.88560787274747,119.37627933489219,214.13446698062555
agp,257.42918072954365,310.2391824019306,245.77386260374,239.01697298609938,133.5219583689856,394.1500248919719,292.5302708163229,255.93473698269227,271.34202417494913
ahpC,1707.7197956930854,1280.5048904324556,1798.1590584853427,1035.5441845040798,904.7150697996733,1360.3648927188344,728.0972389131178,823.2705171528031,412.35379660419676
ahpF,200.9692290775211,234.24055932127413,257.1068585256719,217.50940643545076,113.22803737550316,311.54866726143143,194.76507620572497,179.36634984181498,178.3230920892851
ahr,76.0021062588228,134.27225106046956,76.61743627090931,169.794765080338,73.787496722191,104.2202768439108,145.23612078789083,212.47233662166468,186.30492592168443
aidB,96.16055376479706,241.48777773750592,81.89224806250311,185.14335328543729,284.00040954929227,81.27784635143271,112.15448085870251,199.9278444225996,236.9307681323753
ais,65.71266084642679,75.86516477828039,62.295337012930574,105.21738558251575,110.00615077564187,65.38408847557999,96.6466805427272,118.67755952608391,114.12809734639967
alaA,110.87185899602119,197.41587224882707,99.28818987776549,107.89748013845329,159.19419848888833,117.23172939696921,123.1106204946528,166.5460332914737,167.94391521226171
alaC,73.35884568455602,99.82688214435547,53.43074786519239,102.96857999837533,266.6609332850223,77.48509906343472,71.41274314929636,177.3046347962193,169.84238862949275
alaE,150.6991258445143,136.4870510779618,61.80562961045232,122.54811084451799,566.954777074462,130.57631630544012,110.41142529272494,245.32215521880258,81.07682975809306
alaS,423.0261320169474,383.2778354102164,456.48830451336653,357.65532358360906,399.0340206946541,613.8905944311318,313.5184081958307,350.2935491627214,241.3942368977685
aldA,230.09349783092475,220.7128965348363,179.98028252303016,258.78571448160227,152.36909633876164,249.00624437942378,187.56885297949407,291.4998389586903,133.76716284140355
aldB,58.67727147514999,161.37710751235792,73.22434350642716,119.7545801108565,177.38058814902757,68.4639075256407,96.21639716113303,129.52544561299146,173.36208574698261
alkA,66.08171140610784,139.03152759982464,41.41405884118779,63.096668536448874,372.6275213280916,69.957147803657,60.67644671941856,136.3457474359167,110.79445528210597
alkB,35.44854558085018,126.87895261498117,31.54101937792327,126.74992893764629,201.83067524885797,48.286829320706374,56.881556789334475,175.82661473315753,67.99638025445593
allA,103.28161249552055,133.0083706157049,66.25586243034458,101.67846408254717,163.74780828548126,98.33250093480831,165.13450482631504,116.76902734438464,211.93436997788302
allB,48.11640487684784,104.39196448086552,91.91684025114584,96.59053709965544,82.42073851743278,56.88926154345,121.58807517592241,140.1127134492973,133.81053912306106
allC,85.94677726753463,139.13728507947565,84.84106114271907,120.36609387306169,272.46855791442584,83.27696866843947,82.65094193890445,86.02493002074175,115.69480434697745
allD,44.581322069569225,167.68409132435312,45.45493394631149,127.12080154767168,156.7224990912977,59.80317965506371,85.5026833709501,159.9084830859101,121.36822653699645
allE,74.23522870179951,157.89960239211428,69.72136334342798,118.41872679731895,63.29552377644279,84.05369409765605,82.8583597539811,174.09412986872715,150.69361198299737
allR,418.1555278065914,409.738003236072,247.6769716007097,319.9202355919636,189.15862507171846,389.6756353474743,231.17357416866537,332.2146389583623,229.49071289033697
allS,54.33513333596335,109.51254293611713,37.70713828565292,83.98064640905179,68.80519139253178,38.75447790140836,53.46011373937049,202.07131388060614,96.99524104865502
alpA,12.164229554869209,33.144014346275334,51.90770144644144,73.74268810015406,335.38169911447045,46.33491483873624,67.60249999081262,276.9402205209075,186.71321184528472
alr,70.43629544693931,145.50774698253977,56.210058205390794,134.06875103274123,175.99221205019754,73.43508289630213,81.13853314177132,116.94237298607074,109.8315663784594
alsA,73.35197054867706,135.75943942837964,42.51180872676615,143.35519582098158,157.27170185969663,66.46452732661848,86.60347148819999,184.67494991591363,114.82393878799871
alsB,98.39822032149456,129.27652826460354,110.63970732735292,117.46832046723256,378.87843275649135,118.01873281060811,106.43751565610258,133.15546693199406,80.36005501451531
alsC,38.59619519028348,110.3928800767655,42.421804897422255,65.2342572789352,119.63265938268462,53.04384828763166,54.96201519044901,147.5936621458381,96.59137942396409
alsE,109.89332762345462,119.08130050945839,120.76962107789535,225.18530725659718,58.65049418011676,133.23444370209032,212.5098859730039,120.62062301738908,205.95489010497778
alsK,57.68879326488358,196.45633380965805,58.03969518974375,122.94637745414754,192.0330696542532,57.04393226530906,70.50895330675631,215.53672901376396,234.26877884543015
alsR,134.42470278509268,228.8253822786217,168.40666005591513,214.46997136340218,310.679764204945,144.3102813619726,87.58378290590144,255.47905611757946,169.22541899817404
alx,49.995739012720826,159.46388169421328,24.95258338310187,105.01567624168105,356.5476470732253,63.453878808359214,58.17138156681658,217.64980998453333,43.49666545998782
amiA,27.83567214599519,147.5228649582251,14.444993893630619,95.55346779693504,105.57088952421014,51.50030699379294,47.574833258954904,122.63982287406783,60.618809632828196
